PARAMETERS,NITR_Min,BOD_Max,PH_Max,Temp_Max,PH_Min,TC_Min,Temp_Min,TC_Max,BOD_Min,CON_Max,CON_Min,DO_Max,DO_Min,FC_Max,FC_Min,NITR_Max
2009,0.17,1,8.9,30,6.8,7,26,1600,1,319,89,9.5,6.6,1601,4,1.68
2010,0.19,1,8.9,30,7.9,1600,25,1600,1,380,81,8.5,6.3,1600,1600,1.43
2011,0.12,1,8.9,28,8.1,1600,24,1600,1,322,122,7.8,6,1600,1600,0.8
2012,0.15,2,8.7,28,7.5,1100,25,1600,1,285,100,8,6.3,1600,170,0.49
2013,0.15,2,8.9,29,7.1,470,24,2200,1,359,80,8,5.5,580,110,0.49
2014,0.06,2,8.9,30,7.4,840,26,1500,1,300,79,7.3,6.2,380,210,0.29
2015,0.1,3,8.7,30,7.3,1100,23,2400,1,396,114,7.8,5.5,490,270,0.4
2016,0.1,2.6,8.5,28,8,630,23,1700,1.3,312,126,7.8,5.2,630,120,0.4
2017,0.1,2.2,8.5,30,6.5,270,18,340,1,84,40,7.5,6.6,110,40,0.1
2018,0.09,1.8,8.5,27,7.4,700,24,1200,1,298,100,10.2,6.4,320,91,1.1
2019,0.5,2.6,8.4,28,7.7,940,22,1500,1.2,327,125,7.4,6,390,120,0.81
2020,0.32,1.5,8.3,28,7.7,790,24,1300,1.2,295,118,7.4,6.9,340,130,1.7